stage,trial_id,is_default,train_row_count,valid_row_count,param_learning_rate,param_max_iter,param_max_leaf_nodes,param_max_depth,param_min_samples_leaf,param_l2_regularization,param_max_bins,split,model,sample_count,mean_error_m,median_error_m,rmse_m,p90_error_m,status,error_message,fit_seconds
screening,18,False,68245,155597,0.08,500,63,6,16,0.0,128,valid,Tree tuning screening,155597,12.47752470683221,11.055426010940453,14.6930737997788,22.66581814984617,ok,,44.802
screening,19,False,68245,155597,0.08,1000,127,6,16,0.1,128,valid,Tree tuning screening,155597,11.876085313108847,10.354709098078951,14.13508817519904,21.886937211025746,ok,,85.57
screening,20,False,68245,155597,0.01,1000,31,6,16,0.01,128,valid,Tree tuning screening,155597,14.633822994824909,13.24729175279211,16.971544823095176,25.77971804262131,ok,,84.217
screening,21,False,68245,155597,0.05,200,31,None,32,0.01,255,valid,Tree tuning screening,155597,14.591000726788137,13.205994598305727,16.920435416558593,25.718009266954557,ok,,17.755
screening,22,False,68245,155597,0.02,300,31,6,32,0.001,64,valid,Tree tuning screening,155597,15.44994778232403,14.034720573867085,17.882219894633785,27.04485587570733,ok,,27.055
screening,23,False,68245,155597,0.03,500,63,4,16,0.1,255,valid,Tree tuning screening,155597,15.1197331259213,13.74511703576545,17.536936803494914,26.328389376127916,ok,,33.987
screening,24,False,68245,155597,0.08,1000,31,None,32,0.01,128,valid,Tree tuning screening,155597,12.10980680598108,10.728524354726424,14.269808226748601,21.96650282475923,ok,,65.733
screening,25,False,68245,155597,0.02,1000,15,6,32,1.0,255,valid,Tree tuning screening,155597,14.519934551299595,13.155395389570442,16.829541563612207,25.480265577335413,ok,,64.75
screening,26,False,68245,155597,0.02,200,127,None,128,0.01,64,valid,Tree tuning screening,155597,15.108482165413903,13.323695501531384,17.830108354167518,27.415914240266563,ok,,28.976
screening,27,False,68245,155597,0.08,1000,127,8,32,0.001,128,valid,Tree tuning screening,155597,11.873897524985022,10.038422413118388,14.405088903313317,22.643235048121944,ok,,110.707
screening,28,False,68245,155597,0.02,300,63,10,64,0.1,128,valid,Tree tuning screening,155597,14.351104603149805,12.838828398232307,16.778409872394445,25.58959519286581,ok,,35.324
screening,29,False,68245,155597,0.1,200,63,10,64,0.001,255,valid,Tree tuning screening,155597,12.95867741333377,11.54472976941208,15.219254173769777,23.341106914363888,ok,,21.822
screening,30,False,68245,155597,0.05,800,31,8,64,0.01,128,valid,Tree tuning screening,155597,12.749043807659126,11.42086184478007,14.904563290759095,22.880707892065928,ok,,59.112
screening,31,False,68245,155597,0.01,300,127,10,128,1.0,255,valid,Tree tuning screening,155597,18.64444421596327,16.22602047426713,22.144286481436446,34.728812265121064,ok,,48.993
screening,32,False,68245,155597,0.08,500,15,None,128,1.0,128,valid,Tree tuning screening,155597,13.496520173906339,12.205207501045123,15.67011876844553,23.909090921875016,ok,,30.46
screening,33,False,68245,155597,0.01,300,15,4,128,0.0,128,valid,Tree tuning screening,155597,22.967849029097657,19.703777328240037,27.38095049926632,43.32304465661216,ok,,22.858
screening,34,False,68245,155597,0.05,500,15,None,128,1.0,255,valid,Tree tuning screening,155597,14.134823413867013,12.819951761268243,16.38357994843803,24.901467952235258,ok,,32.911
screening,35,False,68245,155597,0.08,500,15,8,16,1.0,255,valid,Tree tuning screening,155597,13.623492414446382,12.320244144398199,15.81534279319447,24.095282523491285,ok,,30.323
screening,36,False,68245,155597,0.01,1000,31,None,16,0.01,255,valid,Tree tuning screening,155597,14.574807560335662,13.185640258920257,16.916032586307104,25.66371751795886,ok,,87.6
screening,37,False,68245,155597,0.1,800,15,10,16,0.001,64,valid,Tree tuning screening,155597,13.075985719228942,11.834621794424631,15.176468071575577,23.247523427655683,ok,,43.771
screening,38,False,68245,155597,0.1,800,31,6,32,1.0,128,valid,Tree tuning screening,155597,12.105650758807624,10.751446321035546,14.214137389102012,21.953764558284043,ok,,60.562
screening,39,False,68245,155597,0.02,1000,63,6,32,0.001,255,valid,Tree tuning screening,155597,13.226319267822474,11.845556862012407,15.460085844732124,23.646170303898284,ok,,89.731
screening,40,False,68245,155597,0.01,800,127,4,32,0.001,64,valid,Tree tuning screening,155597,16.214233279972834,14.716678608538226,18.778373627728783,28.314333973411586,ok,,53.99
screening,41,False,68245,155597,0.02,500,31,None,16,0.001,64,valid,Tree tuning screening,155597,14.733204774807824,13.376657813137694,17.050116468484436,25.911054074437413,ok,,41.376
screening,42,False,68245,155597,0.05,200,15,4,32,0.1,128,valid,Tree tuning screening,155597,15.806475722002967,14.381843949288585,18.300612581378683,27.571071503818786,ok,,13.846
screening,43,False,68245,155597,0.05,800,127,4,16,0.0,64,valid,Tree tuning screening,155597,13.903902113472755,12.66694143282003,16.052633377711558,24.410957798970845,ok,,52.051
screening,44,False,68245,155597,0.08,500,63,6,128,0.001,128,valid,Tree tuning screening,155597,12.684557135749944,11.238205875828372,14.941240948002225,22.97181963717616,ok,,42.399
screening,45,False,68245,155597,0.03,800,127,8,32,0.0,64,valid,Tree tuning screening,155597,12.546081190881818,11.007443435189032,14.869450230213621,22.976611460396274,ok,,93.926
screening,46,False,68245,155597,0.08,1000,127,None,128,0.001,64,valid,Tree tuning screening,155597,11.91645405795406,10.039042534556025,14.528920404139882,22.60021904583859,ok,,119.852
screening,47,False,68245,155597,0.03,500,31,6,32,0.01,255,valid,Tree tuning screening,155597,14.132504905841207,12.781523203935194,16.408321398409303,25.000603294158548,ok,,42.717
screening,48,False,68245,155597,0.05,1000,15,6,32,1.0,64,valid,Tree tuning screening,155597,13.521699289535535,12.236012498638289,15.672033869890557,23.994399644084893,ok,,58.17
screening,49,False,68245,155597,0.03,200,15,10,32,0.0,255,valid,Tree tuning screening,155597,16.44832933440253,14.85486436606285,19.104863609852693,28.998633084474317,ok,,16.486
screening,50,False,68245,155597,0.03,1000,63,4,64,1.0,255,valid,Tree tuning screening,155597,14.118796098699283,12.82219953921311,16.35919458121745,24.716820337290095,ok,,65.349
screening,51,False,68245,155597,0.08,300,31,4,32,1.0,128,valid,Tree tuning screening,155597,14.370327493768043,13.052503162556334,16.618992721882588,25.13286675834434,ok,,20.951
screening,52,False,68245,155597,0.02,500,127,8,128,0.0,255,valid,Tree tuning screening,155597,13.363261093052666,11.836587609347822,15.757434378675935,24.19234575184853,ok,,63.022
screening,53,False,68245,155597,0.02,500,31,4,16,0.1,255,valid,Tree tuning screening,155597,15.733043828708363,14.294987178105217,18.247158350531226,27.455448113987654,ok,,38.96
screening,54,False,68245,155597,0.1,300,31,4,64,0.001,255,valid,Tree tuning screening,155597,14.21232503555908,12.901937054190988,16.467318948207936,24.91584815007423,ok,,19.541
screening,55,False,68245,155597,0.02,200,15,10,32,0.1,128,valid,Tree tuning screening,155597,18.30343073664182,16.095399293351345,21.57294731435364,33.227436954946384,ok,,16.694
screening,56,False,68245,155597,0.02,200,15,None,128,1.0,128,valid,Tree tuning screening,155597,18.271963887164468,16.06982092789541,21.538657769970218,33.16020829274728,ok,,16.059
screening,57,False,68245,155597,0.1,200,15,10,64,0.1,255,valid,Tree tuning screening,155597,14.758828006239856,13.399531187728721,17.073576364480292,25.952689725205577,ok,,13.352
screening,58,False,68245,155597,0.02,800,15,8,32,1.0,255,valid,Tree tuning screening,155597,14.877939518961835,13.481793482377478,17.22963404128592,26.08005986137242,ok,,54.044
screening,59,False,68245,155597,0.02,300,31,6,16,0.001,128,valid,Tree tuning screening,155597,15.331899574305323,13.84029555984841,17.80952634714226,27.03067561573956,ok,,27.569
screening,60,False,68245,155597,0.02,500,15,10,16,1.0,255,valid,Tree tuning screening,155597,15.609352512271787,14.158820135309114,18.068653953882254,27.29393933608251,ok,,36.13
screening,61,False,68245,155597,0.01,1000,31,10,16,0.0,255,valid,Tree tuning screening,155597,14.590144519097576,13.197799110939261,16.929250854774597,25.696172754396933,ok,,87.887
screening,62,False,68245,155597,0.03,300,63,6,128,0.01,128,valid,Tree tuning screening,155597,14.246579429546728,12.783706219412988,16.637838535738446,25.370213273548003,ok,,28.497
screening,63,False,68245,155597,0.02,200,31,6,16,0.001,128,valid,Tree tuning screening,155597,16.7810827987652,14.863406507596297,19.730521733707793,30.210325262783236,ok,,18.85
screening,64,False,68245,155597,0.03,800,127,4,32,0.0,64,valid,Tree tuning screening,155597,14.484662476575236,13.191929467561659,16.730338858262204,25.32794423959245,ok,,53.007
screening,65,False,68245,155597,0.01,1000,127,6,32,0.01,128,valid,Tree tuning screening,155597,14.027066713429265,12.591592446260346,16.360774275455288,24.929524266334667,ok,,92.598
screening,66,False,68245,155597,0.03,1000,63,8,16,0.01,255,valid,Tree tuning screening,155597,12.530275513711892,11.093482679332137,14.77304849097312,22.77220348269227,ok,,98.427
screening,67,False,68245,155597,0.03,500,63,None,128,0.001,64,valid,Tree tuning screening,155597,13.249424979424491,11.80584611328368,15.532407633803764,23.811975534214696,ok,,51.347
screening,68,False,68245,155597,0.01,500,15,4,128,0.0,128,valid,Tree tuning screening,155597,17.268888089150394,15.478899203363651,20.161996103457504,30.64345325638035,ok,,35.346
screening,69,False,68245,155597,0.03,300,63,10,32,0.1,64,valid,Tree tuning screening,155597,13.964773000405412,12.556619980040029,16.280374373173323,24.88975081451951,ok,,32.942
screening,70,False,68245,155597,0.08,300,15,None,16,0.001,255,valid,Tree tuning screening,155597,14.316651855886148,12.938317159396563,16.60981877465971,25.196129837446513,ok,,19.653
screening,71,False,68245,155597,0.02,200,63,10,32,1.0,255,valid,Tree tuning screening,155597,15.783875406177504,13.882824368060017,18.62181954195705,28.670648492594985,ok,,26.387
screening,72,False,68245,155597,0.1,800,63,6,32,0.01,64,valid,Tree tuning screening,155597,11.98655896187573,10.510164244176773,14.223387661661361,21.947717119153918,ok,,69.584
screening,73,False,68245,155597,0.02,800,15,8,16,0.001,64,valid,Tree tuning screening,155597,15.110568580909847,13.774401853956007,17.421249917346767,26.40883409139277,ok,,50.392
screening,74,False,68245,155597,0.05,500,15,4,64,0.001,255,valid,Tree tuning screening,155597,14.407011175922142,13.105256669071963,16.68220871190573,25.141484374448225,ok,,33.268
screening,75,False,68245,155597,0.03,300,127,6,16,0.1,255,valid,Tree tuning screening,155597,14.072789392839194,12.649910081328745,16.409903624113486,24.979101042120167,ok,,29.625
screening,76,False,68245,155597,0.1,200,31,8,128,0.001,255,valid,Tree tuning screening,155597,13.613018322528122,12.29009320276767,15.846421638593547,24.220352716606243,ok,,18.394
screening,77,False,68245,155597,0.08,300,63,4,16,0.1,128,valid,Tree tuning screening,155597,14.469154926600867,13.147014635613953,16.717007864654843,25.309476258186066,ok,,19.659
screening,78,False,68245,155597,0.08,500,127,10,128,0.0,128,valid,Tree tuning screening,155597,11.988381896757868,10.231458898070459,14.462366138565521,22.668111166710542,ok,,64.321
screening,79,False,68245,155597,0.01,300,15,None,32,0.01,255,valid,Tree tuning screening,155597,22.688544125749484,19.444840474013812,27.079503583045305,42.9322922629502,ok,,24.869
screening,80,False,68245,155597,0.05,1000,63,4,32,0.001,255,valid,Tree tuning screening,155597,13.354778991452955,12.084414382442423,15.485765878530398,23.494881628439096,ok,,65.389
screening,81,False,68245,155597,0.03,1000,63,8,16,1.0,255,valid,Tree tuning screening,155597,12.512060776235174,11.056422049704402,14.766940652415908,22.75325249068491,ok,,98.867
screening,82,False,68245,155597,0.1,300,63,6,16,0.01,64,valid,Tree tuning screening,155597,12.828270784152217,11.482432393427382,14.9974449803891,22.997324405416425,ok,,27.35
screening,83,False,68245,155597,0.05,500,63,10,32,0.1,128,valid,Tree tuning screening,155597,12.711244900091096,11.25654283623481,14.9741668180941,23.046325445544202,ok,,46.943
screening,84,False,68245,155597,0.05,200,127,8,128,0.01,255,valid,Tree tuning screening,155597,13.323949240664986,11.82634527699975,15.677860718690662,24.020337350631987,ok,,25.899
screening,85,False,68245,155597,0.02,300,31,6,16,0.0,255,valid,Tree tuning screening,155597,15.354491394548774,13.86739355913477,17.84791029037568,27.09842234080229,ok,,27.962
screening,86,False,68245,155597,0.01,800,63,4,16,0.01,128,valid,Tree tuning screening,155597,16.062767776944515,14.55920077678557,18.64479413060134,28.14636547807053,ok,,54.991
screening,87,False,68245,155597,0.01,1000,127,4,32,0.1,64,valid,Tree tuning screening,155597,15.85192907571939,14.435020458870598,18.330421864190345,27.648128289600315,ok,,66.948
screening,88,False,68245,155597,0.1,1000,15,10,32,1.0,64,valid,Tree tuning screening,155597,12.828311452622104,11.551124959379813,14.962519523496038,22.90735218000494,ok,,55.566
screening,89,False,68245,155597,0.02,800,63,6,64,0.1,128,valid,Tree tuning screening,155597,13.522152683549994,12.141423450836285,15.789118284067161,24.142961580139055,ok,,71.045
screening,90,False,68245,155597,0.01,500,63,10,128,0.001,128,valid,Tree tuning screening,155597,14.671840810332558,13.079794487047284,17.204430039195955,26.29153376587313,ok,,58.601
screening,91,False,68245,155597,0.08,800,31,10,16,0.001,255,valid,Tree tuning screening,155597,12.261621360708732,10.904004508478737,14.38938690654047,22.152030290596223,ok,,55.486
screening,92,False,68245,155597,0.1,800,127,6,128,0.0,128,valid,Tree tuning screening,155597,12.053584255145234,10.538060500339817,14.306868003467871,22.226548053762542,ok,,67.084
screening,93,False,68245,155597,0.08,200,127,8,128,0.1,64,valid,Tree tuning screening,155597,13.04347051612166,11.563513905196736,15.36470464411023,23.599862493156884,ok,,24.003
screening,94,False,68245,155597,0.05,200,31,4,128,0.0,64,valid,Tree tuning screening,155597,15.791802879159402,14.369618651433434,18.24796804990869,27.54572740870787,ok,,14.288
screening,95,False,68245,155597,0.03,500,31,8,128,1.0,64,valid,Tree tuning screening,155597,14.120590698204396,12.792098204834605,16.375189947140687,25.03575304544935,ok,,41.472
screening,96,False,68245,155597,0.05,300,31,10,64,0.1,255,valid,Tree tuning screening,155597,14.014688681840884,12.653652793378075,16.28914175937741,24.831111594453485,ok,,25.836
screening,97,False,68245,155597,0.05,800,127,8,32,0.1,128,valid,Tree tuning screening,155597,12.020101348806042,10.410561364203216,14.377317017122332,22.404927854101928,ok,,92.578
screening,98,False,68245,155597,0.05,1000,127,10,128,0.01,64,valid,Tree tuning screening,155597,11.898252372468663,10.179763320548455,14.337408938604995,22.30556856432397,ok,,124.954
screening,99,False,68245,155597,0.1,800,63,4,16,1.0,128,valid,Tree tuning screening,155597,12.81256438653948,11.56285349785305,14.895642503649139,22.719283744127146,ok,,51.677
screening,100,False,68245,155597,0.03,800,15,8,64,1.0,64,valid,Tree tuning screening,155597,14.452886818876019,13.143013097632501,16.693449585703494,25.384441933195212,ok,,49.654
screening,101,False,68245,155597,0.03,500,127,6,64,0.0,128,valid,Tree tuning screening,155597,13.571248043854363,12.178222221383422,15.834354665424398,24.1946112156639,ok,,44.56
screening,102,False,68245,155597,0.08,300,31,8,32,0.01,255,valid,Tree tuning screening,155597,13.37734402192436,12.045789858401921,15.569899478726263,23.84950331767692,ok,,24.563
